,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
0,"Added, Dan",0,4,0,0,2,25,38,10,23,-17,0.6578947368421053,0.43478260869565216,,161.5,67.0,183.0,174.5,155.0,197.0,,156.33333333333334,189.0,2026-01-12
1,"Altmaier, Daniel",0,10,2,2,7,38,67,15,37,-48,0.5671641791044776,0.40540540540540543,1.0,94.0,174.0,183.0,225.0,206.0,209.0,5.5,156.64285714285714,190.0,2026-01-12
2,Andreozzi G / Carle M L,1,5,7,22,5,58,107,27,47,-19,0.5420560747663551,0.574468085106383,0.3181818181818182,152.0,147.0,93.0,184.0,218.0,87.0,148.5,147.07142857142858,176.0,2026-01-12
3,"Arnaldi, Matteo",1,10,5,13,5,54,76,16,39,7,0.7105263157894737,0.41025641025641024,0.38461538461538464,94.0,147.0,93.0,87.5,102.0,208.0,118.5,121.42857142857143,135.0,2026-01-12
4,"Arnaud Bailly, Gilles",1,1,4,8,3,37,59,1,2,7,0.6271186440677966,0.5,0.5,209.0,101.0,93.0,87.5,174.0,152.0,66.5,126.14285714285714,144.0,2026-01-12
5,"Atmane, Terence",1,24,3,10,7,87,115,43,72,-24,0.7565217391304347,0.5972222222222222,0.3,27.5,174.0,93.0,206.5,64.0,62.0,158.0,112.14285714285714,118.0,2026-01-12
6,Auger-Aliassime F / Mboko V,1,3,4,5,2,22,29,10,14,15,0.7586206896551724,0.7142857142857143,0.8,176.5,67.0,93.0,54.5,61.0,14.0,12.5,68.35714285714286,26.0,2026-01-12
7,"Auger-Aliassime, Felix",1,14,2,7,5,60,75,16,37,-6,0.8,0.43243243243243246,0.2857142857142857,64.5,147.0,93.0,124.0,27.0,199.0,163.0,116.78571428571429,126.0,2026-01-12
8,"Baez, Sebastian",4,10,13,27,4,176,274,55,84,14,0.6423357664233577,0.6547619047619048,0.48148148148148145,94.0,125.5,8.0,57.0,169.0,30.0,81.0,80.64285714285714,46.0,2026-01-12
9,"Barrena, Alex",0,1,1,1,4,47,72,10,21,-16,0.6527777777777778,0.47619047619047616,1.0,209.0,125.5,183.0,170.0,157.0,175.0,5.5,146.42857142857142,173.5,2026-01-12
10,"Basavareddy, Nishesh",2,22,5,11,11,94,120,37,63,6,0.7833333333333333,0.5873015873015873,0.45454545454545453,34.5,208.0,36.0,91.5,42.0,72.0,89.0,81.85714285714286,49.5,2026-01-12
11,"Basilashvili, Nikoloz",0,11,2,4,11,22,42,15,28,-35,0.5238095238095238,0.5357142857142857,0.5,83.0,208.0,183.0,219.5,221.0,117.0,66.5,156.85714285714286,191.0,2026-01-12
12,"Becroft, Isaac",0,2,1,4,2,18,31,11,24,-18,0.5806451612903226,0.4583333333333333,0.25,195.0,67.0,183.0,178.5,194.5,187.0,178.0,169.0,211.0,2026-01-12
13,"Bellucci, Mattia",1,26,5,14,7,102,126,32,61,1,0.8095238095238095,0.5245901639344263,0.35714285714285715,21.5,174.0,93.0,106.0,23.0,129.0,130.5,96.71428571428571,83.0,2026-01-12
14,"Bencic, Belinda",5,6,25,49,11,169,234,46,85,96,0.7222222222222222,0.5411764705882353,0.5102040816326531,139.5,208.0,2.5,1.0,92.0,110.0,52.0,86.42857142857143,67.0,2026-01-12
15,Bergs Z / Mertens E,1,10,11,21,9,84,120,28,55,19,0.7,0.509090909090909,0.5238095238095238,94.0,193.0,93.0,38.5,113.5,139.0,50.0,103.0,100.0,2026-01-12
16,"Bergs, Zizou",3,36,9,23,11,153,207,94,137,42,0.7391304347826086,0.6861313868613139,0.391304347826087,16.0,208.0,18.0,6.0,76.0,18.0,116.0,65.42857142857143,19.0,2026-01-12
17,"Blancaneaux, Geoffrey",0,3,0,2,4,30,43,11,23,-19,0.6976744186046512,0.4782608695652174,0.0,176.5,125.5,183.0,184.0,115.5,172.5,210.0,166.71428571428572,209.0,2026-01-12
18,"Bonzi, Benjamin",0,10,2,3,12,75,112,25,46,-35,0.6696428571428571,0.5434782608695652,0.6666666666666666,94.0,213.5,183.0,219.5,145.0,108.0,23.5,140.92857142857142,165.0,2026-01-12
19,"Borges, Nuno",2,12,8,13,2,92,124,23,54,4,0.7419354838709677,0.42592592592592593,0.6153846153846154,74.0,67.0,36.0,99.5,75.0,202.0,29.5,83.28571428571429,57.5,2026-01-12
20,"Bouquier, Arthur",0,2,0,2,2,20,37,5,12,-27,0.5405405405405406,0.4166666666666667,0.0,195.0,67.0,183.0,213.5,219.0,205.0,210.0,184.64285714285714,224.0,2026-01-12
21,"Bouzas Maneiro, Jessica",1,5,13,19,19,62,107,36,61,1,0.5794392523364486,0.5901639344262295,0.6842105263157895,152.0,222.0,93.0,106.0,197.0,67.0,18.0,122.14285714285714,137.0,2026-01-12
22,"Boyer, Tristan",1,5,5,12,2,46,64,12,17,16,0.71875,0.7058823529411765,0.4166666666666667,152.0,67.0,93.0,50.5,96.0,15.0,99.5,81.85714285714286,49.5,2026-01-12
23,"Brooksby, Jenson",1,2,3,13,3,34,48,10,15,10,0.7083333333333334,0.6666666666666666,0.23076923076923078,195.0,101.0,93.0,75.0,106.0,23.5,185.5,111.28571428571429,117.0,2026-01-12
24,"Bu, Yunchaokete",0,10,0,3,2,27,36,14,22,-8,0.75,0.6363636363636364,0.0,94.0,67.0,183.0,132.0,69.5,38.5,210.0,113.42857142857143,122.0,2026-01-12
25,"Bublik, Alexander",4,46,11,18,14,149,183,39,63,62,0.8142076502732241,0.6190476190476191,0.6111111111111112,9.0,217.5,8.0,3.0,22.0,47.0,31.0,48.214285714285715,3.0,2026-01-12
26,"Bueno, Gonzalo",1,2,3,3,3,27,49,17,23,13,0.5510204081632653,0.7391304347826086,1.0,195.0,101.0,93.0,60.0,212.0,12.0,5.5,96.92857142857143,84.0,2026-01-12
27,"Carballes Baena, Roberto",1,1,4,13,1,21,23,13,17,27,0.9130434782608695,0.7647058823529411,0.3076923076923077,209.0,32.0,93.0,25.0,3.0,7.0,154.0,74.71428571428571,38.0,2026-01-12
28,"Carreno Busta, Pablo",1,17,5,11,3,101,150,42,75,-22,0.6733333333333333,0.56,0.45454545454545453,52.5,101.0,93.0,197.5,141.0,100.5,89.0,110.64285714285714,115.0,2026-01-12
29,"Cassone, Murphy",1,8,3,6,2,43,61,16,30,4,0.7049180327868853,0.5333333333333333,0.5,111.5,67.0,93.0,99.5,108.5,120.0,66.5,95.14285714285714,81.0,2026-01-12
30,"Cazaux, Arthur",1,9,3,8,1,30,36,7,9,25,0.8333333333333334,0.7777777777777778,0.375,103.0,32.0,93.0,29.0,9.0,6.0,123.5,56.5,8.0,2026-01-12
31,"Cerundolo, Juan Manuel",1,11,6,21,7,59,86,43,76,-4,0.686046511627907,0.5657894736842105,0.2857142857142857,83.0,174.0,93.0,117.0,124.0,94.0,163.0,121.14285714285714,133.5,2026-01-12
32,Cervantes I / Cavalle-Reimers Y,0,3,2,5,2,25,42,11,22,-20,0.5952380952380952,0.5,0.4,176.5,67.0,183.0,189.5,189.0,152.0,111.0,152.57142857142858,183.0,2026-01-12
33,"Cilic, Marin",1,18,4,8,8,48,61,23,39,2,0.7868852459016393,0.5897435897435898,0.5,45.0,183.0,93.0,103.5,40.0,68.0,66.5,85.57142857142857,65.0,2026-01-12
34,"Clarke, Jay",0,1,0,2,0,41,73,1,2,-10,0.5616438356164384,0.5,0.0,209.0,9.5,183.0,141.0,207.0,152.0,210.0,158.78571428571428,196.5,2026-01-12
35,"Cobolli, Flavio",1,13,5,15,6,82,114,67,104,-7,0.7192982456140351,0.6442307692307693,0.3333333333333333,68.5,163.0,93.0,128.0,95.0,33.0,140.0,102.92857142857143,99.0,2026-01-12
36,"Collignon, Raphael",4,39,11,47,14,179,228,67,105,34,0.7850877192982456,0.638095238095238,0.23404255319148937,13.5,217.5,8.0,12.5,41.0,37.0,184.0,73.35714285714286,34.0,2026-01-12
37,"Comesana, Francisco",1,17,2,4,3,60,76,17,25,8,0.7894736842105263,0.68,0.5,52.5,101.0,93.0,83.0,38.0,21.0,66.5,65.0,18.0,2026-01-12
38,"Crawford, Oliver",0,3,4,8,2,29,51,15,24,-5,0.5686274509803921,0.625,0.5,176.5,67.0,183.0,120.5,205.0,43.0,66.5,123.07142857142857,139.0,2026-01-12
39,"Damm Jr, Martin",1,22,3,3,8,49,65,5,13,6,0.7538461538461538,0.38461538461538464,1.0,34.5,183.0,93.0,91.5,66.0,215.5,5.5,98.42857142857143,87.0,2026-01-12
40,"Davidovich Fokina, Alejandro",0,6,1,3,1,31,45,15,26,-13,0.6888888888888889,0.5769230769230769,0.3333333333333333,139.5,32.0,183.0,158.5,121.0,83.0,140.0,122.42857142857143,138.0,2026-01-12
41,"De Jong, Jesper",0,11,2,3,8,61,87,33,55,-20,0.7011494252873564,0.6,0.6666666666666666,83.0,183.0,183.0,189.5,112.0,59.5,23.5,119.07142857142857,129.0,2026-01-12
42,"Delaney, Jake",0,13,2,10,6,43,60,17,32,-12,0.7166666666666667,0.53125,0.2,68.5,163.0,183.0,151.5,97.0,123.5,190.5,139.57142857142858,162.0,2026-01-12
43,"Dellien, Hugo",0,1,0,3,1,25,46,8,13,-18,0.5434782608695652,0.6153846153846154,0.0,209.0,32.0,183.0,178.5,217.0,50.0,210.0,154.21428571428572,185.0,2026-01-12
44,"Den Ouden, Guy",0,1,1,4,2,29,38,14,26,-12,0.7631578947368421,0.5384615384615384,0.25,209.0,67.0,183.0,151.5,58.0,113.5,178.0,137.14285714285714,160.0,2026-01-12
45,"Diallo, Gabriel",1,18,5,16,5,89,123,31,53,9,0.7235772357723578,0.5849056603773585,0.3125,45.0,147.0,93.0,78.5,90.0,75.0,151.0,97.07142857142857,85.0,2026-01-12
46,"Diaz Acosta, Facundo",0,3,4,7,5,65,100,19,38,-16,0.65,0.5,0.5714285714285714,176.5,147.0,183.0,170.0,161.0,152.0,37.5,146.71428571428572,175.0,2026-01-12
47,"Dimitrov, Grigor",1,18,3,7,3,57,70,29,57,-1,0.8142857142857143,0.5087719298245614,0.42857142857142855,45.0,101.0,93.0,111.5,21.0,140.0,96.5,86.85714285714286,69.0,2026-01-12
48,"Djere, Laslo",2,11,5,18,8,87,127,38,66,-4,0.6850393700787402,0.5757575757575758,0.2777777777777778,83.0,183.0,36.0,117.0,126.0,85.5,165.0,113.64285714285714,123.0,2026-01-12
49,"Dodig, Matej",0,2,2,11,2,40,62,12,28,-13,0.6451612903225806,0.42857142857142855,0.18181818181818182,195.0,67.0,183.0,158.5,166.5,200.5,194.0,166.35714285714286,208.0,2026-01-12
50,"Droguet, Titouan",1,7,3,5,0,32,37,8,13,21,0.8648648648648649,0.6153846153846154,0.6,124.5,9.5,93.0,34.0,6.0,50.0,34.0,50.142857142857146,4.0,2026-01-12
