,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
0,"AL Janahi, Abdulrahman",0,0,0,2,5,13,31,8,17,-32,0.41935483870967744,0.47058823529411764,0.0,2511.0,942.5,2088.0,2335.0,2543.0,2127.5,2389.5,2133.785714285714,2545.0,February 2025,2026-01-28
1,"Added, Dan",0,4,0,0,2,25,38,10,23,-17,0.6578947368421053,0.43478260869565216,,2044.0,345.5,2088.0,1823.0,1834.0,2304.5,,1739.8333333333333,2231.0,January 2026,2026-01-28
2,"Added, Dan",1,23,2,6,6,90,128,32,68,-46,0.703125,0.47058823529411764,0.3333333333333333,856.5,1108.0,1342.5,2481.0,1219.5,2127.5,1548.5,1526.2142857142858,1830.0,November 2025,2026-01-28
3,"Aguilar, Juan Carlos",0,0,1,2,5,22,46,8,16,-23,0.4782608695652174,0.5,0.5,2511.0,942.5,2088.0,2107.0,2520.5,1928.0,428.0,1789.2857142857142,2293.0,July 2025,2026-01-28
4,"Ajdukovic, Duje",1,9,4,13,0,64,89,12,27,0,0.7191011235955056,0.4444444444444444,0.3076923076923077,1576.0,47.5,1342.5,963.0,960.0,2266.5,1734.0,1269.9285714285713,1273.0,January 2025,2026-01-28
5,"Ajdukovic, Duje",0,4,2,4,5,27,45,13,24,-7,0.6,0.5416666666666666,0.5,2044.0,942.5,2088.0,1273.5,2250.0,1441.0,428.0,1495.2857142857142,1762.0,July 2025,2026-01-28
6,"Ajdukovic, Duje",0,16,1,9,4,103,139,28,53,-20,0.7410071942446043,0.5283018867924528,0.1111111111111111,1154.5,758.5,2088.0,1972.0,636.0,1609.0,2287.5,1500.7857142857142,1774.0,June 2025,2026-01-28
7,"Ajdukovic, Duje",0,5,2,5,3,55,85,9,22,-15,0.6470588235294118,0.4090909090909091,0.4,1937.5,555.0,2088.0,1708.0,1945.0,2370.5,1054.0,1665.4285714285713,2118.0,May 2025,2026-01-28
8,"Albot, Radu",0,0,1,3,1,20,39,14,25,-15,0.5128205128205128,0.56,0.3333333333333333,2511.0,169.0,2088.0,1708.0,2489.0,1191.5,1548.5,1672.142857142857,2128.0,April 2025,2026-01-28
9,"Albot, Radu",0,4,6,13,3,90,131,32,62,-7,0.6870229007633588,0.5161290322580645,0.46153846153846156,2044.0,555.0,2088.0,1273.5,1463.0,1764.5,633.0,1403.0,1566.0,February 2025,2026-01-28
10,"Albot, Radu",0,0,1,3,4,22,37,8,22,-20,0.5945945945945946,0.36363636363636365,0.3333333333333333,2511.0,758.5,2088.0,1972.0,2277.5,2447.0,1548.5,1943.2142857142858,2460.0,January 2025,2026-01-28
11,"Albot, Radu",1,3,6,28,14,85,138,40,69,-38,0.6159420289855072,0.5797101449275363,0.21428571428571427,2166.0,1936.0,1342.5,2418.0,2154.0,888.5,2130.5,1862.2142857142858,2389.0,July 2025,2026-01-28
12,"Albot, Radu",2,13,15,44,11,123,181,38,89,-1,0.6795580110497238,0.42696629213483145,0.3409090909090909,1326.5,1700.5,870.0,1001.5,1560.0,2329.0,1448.0,1462.2142857142858,1687.0,March 2025,2026-01-28
13,"Albot, Radu",0,0,4,10,4,33,54,6,19,-13,0.6111111111111112,0.3157894736842105,0.4,2511.0,758.5,2088.0,1593.0,2191.0,2498.0,1054.0,1813.357142857143,2330.0,May 2025,2026-01-28
14,"Alcala Gurri, Max",0,0,2,5,5,19,44,11,17,-23,0.4318181818181818,0.6470588235294118,0.4,2511.0,942.5,2088.0,2107.0,2536.0,211.0,1054.0,1635.642857142857,2069.0,April 2025,2026-01-28
15,"Alcaraz, Carlos",9,14,39,89,20,308,449,122,206,141,0.6859688195991092,0.5922330097087378,0.43820224719101125,1263.0,2232.0,14.0,13.0,1480.0,717.0,769.0,926.8571428571429,549.0,April 2025,2026-01-28
16,"Alcaraz, Carlos",10,70,42,97,30,312,386,145,202,198,0.8082901554404145,0.7178217821782178,0.4329896907216495,120.5,2454.0,6.5,1.0,79.0,45.0,792.0,499.7142857142857,19.0,August 2025,2026-01-28
17,"Alcaraz, Carlos",7,32,31,74,17,264,356,110,174,106,0.7415730337078652,0.632183908045977,0.4189189189189189,584.5,2105.5,67.0,42.5,629.0,300.5,896.5,660.7857142857143,117.0,February 2025,2026-01-28
18,"Alcaraz, Carlos",4,45,27,65,20,217,285,80,132,107,0.7614035087719299,0.6060606060606061,0.4153846153846154,335.0,2232.0,352.0,40.5,380.0,545.0,927.5,687.4285714285714,152.5,January 2025,2026-01-28
19,"Alcaraz, Carlos",5,30,26,58,8,223,300,86,136,117,0.7433333333333333,0.6323529411764706,0.4482758620689655,639.5,1400.0,205.0,29.5,596.0,299.0,707.5,553.7857142857143,41.0,January 2026,2026-01-28
20,"Alcaraz, Carlos",5,76,25,57,25,314,395,129,210,93,0.7949367088607595,0.6142857142857143,0.43859649122807015,89.5,2374.0,205.0,57.5,136.0,457.5,768.0,583.9285714285714,56.0,July 2025,2026-01-28
21,"Alcaraz, Carlos",10,90,41,90,38,487,654,236,358,158,0.7446483180428135,0.659217877094972,0.45555555555555555,49.0,2518.0,6.5,8.0,578.0,162.0,658.0,568.5,48.0,June 2025,2026-01-28
22,"Alcaraz, Carlos",4,31,19,44,21,181,253,78,120,58,0.7154150197628458,0.65,0.4318181818181818,611.5,2270.0,352.0,136.0,1013.0,196.0,799.5,768.2857142857143,260.0,March 2025,2026-01-28
23,"Alcaraz, Carlos",9,23,43,96,24,351,514,134,219,147,0.6828793774319066,0.6118721461187214,0.4479166666666667,856.5,2348.0,14.0,11.0,1520.0,483.5,709.0,848.8571428571429,390.0,May 2025,2026-01-28
24,"Alcaraz, Carlos",4,26,14,34,6,187,252,67,116,54,0.7420634920634921,0.5775862068965517,0.4117647058823529,756.5,1108.0,352.0,156.0,619.0,916.0,958.0,695.0714285714286,158.0,November 2025,2026-01-28
25,"Alcaraz, Carlos",0,8,1,5,2,37,58,22,35,-15,0.6379310344827587,0.6285714285714286,0.2,1648.0,345.5,2088.0,1708.0,2011.0,326.5,2167.0,1470.5714285714287,1709.0,October 2025,2026-01-28
26,"Alcaraz, Carlos",8,46,30,63,14,278,351,111,188,120,0.792022792022792,0.5904255319148937,0.47619047619047616,325.5,1936.0,32.0,27.0,149.0,748.0,569.5,541.0,33.0,September 2025,2026-01-28
27,"Altmaier, Daniel",7,52,31,76,23,359,499,162,340,-5,0.7194388777555111,0.4764705882352941,0.40789473684210525,251.0,2326.0,67.0,1170.5,953.0,2092.0,986.0,1120.7857142857142,964.5,April 2025,2026-01-28
28,"Altmaier, Daniel",2,56,11,35,18,250,338,105,189,-37,0.7396449704142012,0.5555555555555556,0.3142857142857143,215.5,2153.5,870.0,2403.5,656.0,1259.5,1693.5,1321.642857142857,1383.0,August 2025,2026-01-28
29,"Altmaier, Daniel",6,80,24,69,14,324,455,146,281,5,0.7120879120879121,0.5195729537366548,0.34782608695652173,75.5,1936.0,119.5,813.5,1066.0,1723.0,1421.0,1022.0714285714286,752.0,February 2025,2026-01-28
30,"Altmaier, Daniel",2,46,14,28,16,251,347,87,187,-54,0.723342939481268,0.46524064171123,0.5,325.5,2051.5,870.0,2510.0,899.0,2158.0,428.0,1320.2857142857142,1377.0,January 2025,2026-01-28
31,"Altmaier, Daniel",0,18,2,3,11,70,118,25,63,-84,0.5932203389830508,0.3968253968253968,0.6666666666666666,1059.0,1700.5,2088.0,2545.0,2286.0,2399.0,103.5,1740.142857142857,2232.0,January 2026,2026-01-28
32,"Altmaier, Daniel",1,27,8,28,12,116,161,68,124,-25,0.7204968944099379,0.5483870967741935,0.2857142857142857,725.5,1787.0,1342.5,2180.5,938.0,1350.5,1837.0,1451.5714285714287,1667.5,July 2025,2026-01-28
33,"Altmaier, Daniel",1,33,8,19,16,162,234,69,142,-73,0.6923076923076923,0.4859154929577465,0.42105263157894735,554.5,2051.5,1342.5,2543.0,1373.5,2029.0,879.0,1539.0,1857.0,June 2025,2026-01-28
34,"Altmaier, Daniel",0,7,2,14,3,52,75,18,39,-26,0.6933333333333334,0.46153846153846156,0.14285714285714285,1732.5,555.0,2088.0,2209.5,1353.0,2184.0,2261.0,1769.0,2264.0,March 2025,2026-01-28
35,"Altmaier, Daniel",3,40,18,39,17,206,293,102,178,16,0.7030716723549488,0.5730337078651685,0.46153846153846156,411.5,2105.5,564.5,544.5,1221.0,984.0,633.0,923.4285714285714,535.5,May 2025,2026-01-28
36,"Altmaier, Daniel",2,21,5,20,4,96,126,37,64,4,0.7619047619047619,0.578125,0.25,945.0,758.5,870.0,838.5,375.0,911.5,1997.5,956.5714285714286,609.0,November 2025,2026-01-28
37,"Altmaier, Daniel",3,58,10,35,19,221,294,82,159,-34,0.7517006802721088,0.5157232704402516,0.2857142857142857,200.5,2192.5,564.5,2364.5,489.0,1771.0,1837.0,1345.5714285714287,1433.0,October 2025,2026-01-28
38,"Altmaier, Daniel",1,13,4,8,6,55,77,20,36,-6,0.7142857142857143,0.5555555555555556,0.5,1326.5,1108.0,1342.5,1222.0,1033.0,1259.5,428.0,1102.7857142857142,918.0,September 2025,2026-01-28
39,"Alvarez Valdes, Luis Carlos",1,1,7,9,4,43,66,28,45,15,0.6515151515151515,0.6222222222222222,0.7777777777777778,2419.5,758.5,1342.5,568.0,1902.0,377.5,58.5,1060.9285714285713,833.0,July 2025,2026-01-28
40,"Alves, Mateus",0,8,0,7,3,36,46,15,25,-9,0.782608695652174,0.6,0.0,1648.0,555.0,2088.0,1373.0,208.0,607.0,2389.5,1266.9285714285713,1267.0,February 2025,2026-01-28
41,"Andrade, Andres",0,2,0,0,5,33,43,16,32,-4,0.7674418604651163,0.5,,2296.5,942.5,2088.0,1127.0,321.0,1928.0,,1450.5,1665.0,March 2025,2026-01-28
42,"Andreescu, Stefan Adrian",0,0,5,14,1,39,76,7,18,-10,0.5131578947368421,0.3888888888888889,0.35714285714285715,2511.0,169.0,2088.0,1426.5,2487.0,2415.0,1352.5,1778.4285714285713,2276.0,March 2025,2026-01-28
43,"Andreev, Adrian",0,3,2,4,3,24,37,6,13,-8,0.6486486486486487,0.46153846153846156,0.5,2166.0,555.0,2088.0,1319.5,1931.0,2184.0,428.0,1524.5,1824.0,January 2025,2026-01-28
44,Andreozzi G / Carle M L,1,5,7,22,5,58,107,27,47,-19,0.5420560747663551,0.574468085106383,0.3181818181818182,1937.5,942.5,1342.5,1920.5,2442.0,960.0,1666.5,1601.642857142857,2003.5,January 2026,2026-01-28
45,"Arnaboldi, Federico",0,4,1,2,3,27,44,6,17,-20,0.6136363636363636,0.35294117647058826,0.5,2044.0,555.0,2088.0,1972.0,2173.0,2462.0,428.0,1674.5714285714287,2130.0,January 2025,2026-01-28
46,"Arnaboldi, Federico",0,0,0,0,2,20,32,8,16,-16,0.625,0.5,,2511.0,345.5,2088.0,1767.5,2096.5,1928.0,,1789.4166666666667,2295.5,July 2025,2026-01-28
47,"Arnaboldi, Federico",0,2,1,5,4,25,35,10,13,-13,0.7142857142857143,0.7692307692307693,0.2,2296.5,758.5,2088.0,1593.0,1033.0,14.5,2167.0,1421.5,1609.0,June 2025,2026-01-28
48,"Arnaboldi, Federico",2,20,8,24,7,139,222,57,97,-14,0.6261261261261262,0.5876288659793815,0.3333333333333333,983.5,1264.5,870.0,1652.0,2087.0,773.0,1548.5,1311.2142857142858,1358.0,May 2025,2026-01-28
49,"Arnaldi, Matteo",4,35,15,32,11,184,263,116,207,9,0.6996197718631179,0.5603864734299517,0.46875,501.0,1700.5,352.0,713.0,1273.0,1182.0,598.0,902.7857142857143,491.0,April 2025,2026-01-28
50,"Arnaldi, Matteo",0,22,5,24,11,110,163,77,133,-38,0.6748466257668712,0.5789473684210527,0.20833333333333334,900.0,1700.5,2088.0,2418.0,1620.0,902.5,2140.0,1681.2857142857142,2136.0,August 2025,2026-01-28
51,"Arnaldi, Matteo",4,53,13,41,13,253,332,109,186,32,0.7620481927710844,0.5860215053763441,0.3170731707317073,241.5,1868.0,352.0,314.5,372.0,799.0,1675.5,803.2142857142857,310.0,February 2025,2026-01-28
52,"Arnaldi, Matteo",0,15,9,18,15,102,148,53,95,-11,0.6891891891891891,0.5578947368421052,0.5,1205.5,1997.5,2088.0,1476.5,1425.5,1225.0,428.0,1406.5714285714287,1575.0,January 2025,2026-01-28
53,"Arnaldi, Matteo",1,14,5,19,9,81,118,36,70,-12,0.6864406779661016,0.5142857142857142,0.2631578947368421,1263.0,1513.5,1342.5,1533.5,1468.0,1787.0,1939.5,1549.5714285714287,1885.0,January 2026,2026-01-28
54,"Arnaldi, Matteo",3,32,12,40,24,178,240,99,178,-12,0.7416666666666667,0.5561797752808989,0.3,584.5,2348.0,564.5,1533.5,627.0,1247.0,1772.5,1239.5714285714287,1211.5,July 2025,2026-01-28
