,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
96,"Alcaraz, Carlos",1,9.0,5.0,16.0,2.0,51.0,66.0,20.0,28.0,12.0,0.7727272727272727,0.7142857142857143,0.3125,6971.5,1969.5,6117.0,650.0,1525.5,200.0,7619.0,3578.928571428572,777.0,February 2026,2026-02-03
710,"Bautista Agut, Roberto",1,6.0,4.0,13.0,0.0,48.0,70.0,18.0,31.0,5.0,0.6857142857142857,0.5806451612903226,0.3076923076923077,8099.5,450.0,6117.0,823.5,6591.0,3685.0,7741.5,4786.785714285715,3352.0,February 2026,2026-02-03
978,"Bertrand, Robin",0,1.0,0.0,0.0,8.0,14.0,24.0,4.0,9.0,-26.0,0.5833333333333334,0.4444444444444444,,10542.5,6370.5,9599.5,11322.0,10246.5,9966.0,,9674.5,11658.0,February 2026,2026-02-03
997,"Blancaneaux, Geoffrey",0,13.0,2.0,5.0,4.0,47.0,61.0,16.0,26.0,3.0,0.7704918032786885,0.6153846153846154,0.4,5775.5,3659.5,9599.5,875.5,1612.5,1856.5,4712.0,4013.0,1499.0,February 2026,2026-02-03
1011,"Blanchet, Ugo",1,13.0,7.0,8.0,7.0,50.0,68.0,46.0,67.0,25.0,0.7352941176470589,0.6865671641791045,0.875,5775.5,5787.0,6117.0,398.5,3454.0,368.0,223.5,3160.5,344.0,February 2026,2026-02-03
1438,"Carballes Baena, Roberto",0,7.0,0.0,0.0,1.0,30.0,39.0,16.0,24.0,-9.0,0.7692307692307693,0.6666666666666666,,7669.0,1220.0,9599.5,10478.5,1665.5,566.0,,5199.75,4446.0,February 2026,2026-02-03
1503,"Carreno Busta, Pablo",1,7.0,3.0,7.0,2.0,50.0,69.0,13.0,31.0,-5.0,0.7246376811594203,0.4193548387096774,0.4285714285714285,7669.0,1969.5,6117.0,10272.5,4137.0,10315.0,3696.5,6310.928571428572,7520.5,February 2026,2026-02-03
1763,"Chidekh, Clement",1,8.0,9.0,25.0,13.0,88.0,139.0,42.0,77.0,-10.0,0.6330935251798561,0.5454545454545454,0.36,7301.0,8539.0,6117.0,10533.0,9063.0,5937.5,6098.0,7655.5,10550.0,February 2026,2026-02-03
1770,"Choinski, Jan",0,4.0,0.0,2.0,3.0,32.0,50.0,16.0,30.0,-20.0,0.64,0.5333333333333333,0.0,9004.0,2832.5,9599.5,11083.5,8803.0,6690.5,10430.0,8349.0,11303.0,February 2026,2026-02-03
2130,"Damm Jr, Martin",3,62.0,2.0,16.0,11.0,150.0,192.0,51.0,78.0,9.0,0.78125,0.6538461538461539,0.125,812.5,7795.5,2528.0,720.5,1213.0,750.5,9997.0,3402.428571428572,567.0,February 2026,2026-02-03
2592,"Djokovic, Novak",0,4.0,2.0,6.0,2.0,56.0,85.0,20.0,33.0,-12.0,0.6588235294117647,0.6060606060606061,0.3333333333333333,9004.0,1969.5,9599.5,10642.0,7998.0,2264.0,6986.5,6923.357142857143,9234.0,February 2026,2026-02-03
2732,"Droguet, Titouan",3,33.0,9.0,21.0,6.0,100.0,122.0,41.0,68.0,52.0,0.819672131147541,0.6029411764705882,0.4285714285714285,2455.0,5145.0,2528.0,168.0,345.5,2414.5,3696.5,2393.214285714286,33.0,February 2026,2026-02-03
3697,"Gea, Arthur",1,2.0,1.0,1.0,2.0,10.0,11.0,10.0,10.0,11.0,0.9090909090909092,1.0,1.0,10043.0,1969.5,6117.0,676.5,16.5,5.0,109.5,2705.285714285714,88.0,February 2026,2026-02-03
4029,"Grenier, Hugo",1,17.0,2.0,8.0,6.0,84.0,118.0,23.0,37.0,-16.0,0.711864406779661,0.6216216216216216,0.25,4827.5,5145.0,6117.0,10877.0,4914.5,1625.5,8878.5,6055.0,6931.0,February 2026,2026-02-03
4287,"Harris, Billy",0,8.0,1.0,1.0,1.0,45.0,61.0,18.0,32.0,-7.0,0.7377049180327869,0.5625,1.0,7301.0,1220.0,9599.5,10378.0,3304.0,4830.0,109.5,5248.857142857143,4573.0,February 2026,2026-02-03
4658,"Hurkacz, Hubert",0,14.0,0.0,1.0,0.0,34.0,46.0,15.0,26.0,-5.0,0.7391304347826086,0.5769230769230769,0.0,5515.0,450.0,9599.5,10272.5,3217.5,3910.0,10430.0,6199.214285714285,7240.5,February 2026,2026-02-03
5121,"Kecmanovic, Miomir",0,15.0,3.0,6.0,4.0,45.0,52.0,13.0,31.0,5.0,0.8653846153846154,0.4193548387096774,0.5,5266.5,3659.5,9599.5,823.5,65.0,10315.0,1873.0,4514.571428571428,2658.5,February 2026,2026-02-03
5539,"Kouame, Moise",2,11.0,8.0,29.0,13.0,91.0,134.0,51.0,79.0,14.0,0.6791044776119403,0.6455696202531646,0.2758620689655172,6326.0,8539.0,3865.5,598.0,6947.0,920.0,8416.0,5087.357142857143,4176.0,February 2026,2026-02-03
6034,"Landaluce, Martin",0,8.0,6.0,14.0,5.0,46.0,72.0,12.0,26.0,0.0,0.6388888888888888,0.4615384615384615,0.4285714285714285,7301.0,4436.0,9599.5,5518.5,8850.5,9630.5,3696.5,7004.642857142857,9400.0,February 2026,2026-02-03
6354,"Mannarino, Adrian",1,14.0,2.0,3.0,1.0,36.0,44.0,13.0,20.0,18.0,0.8181818181818182,0.65,0.6666666666666666,5515.0,1220.0,6117.0,508.5,369.5,828.5,474.5,2147.5714285714284,18.0,February 2026,2026-02-03
6528,"Martineau, Matteo",0,9.0,0.0,5.0,1.0,41.0,52.0,9.0,19.0,-5.0,0.7884615384615384,0.4736842105263157,0.0,6971.5,1220.0,9599.5,10272.5,988.5,9311.5,10430.0,6970.5,9335.5,February 2026,2026-02-03
6552,"Martinez, Pedro",0,1.0,0.0,2.0,1.0,23.0,33.0,12.0,21.0,-18.0,0.696969696969697,0.5714285714285714,0.0,10542.5,1220.0,9599.5,10980.5,5853.5,4250.0,10430.0,7553.714285714285,10418.0,February 2026,2026-02-03
7255,"Mpetshi Perricard, Giovanni",0,1.0,0.0,0.0,1.0,12.0,17.0,1.0,2.0,-11.0,0.7058823529411765,0.5,,10542.5,1220.0,9599.5,10584.0,5279.0,8434.5,,7609.916666666667,10497.0,February 2026,2026-02-03
7914,"O'Connell, Christopher",0,11.0,3.0,9.0,1.0,43.0,60.0,25.0,49.0,-5.0,0.7166666666666667,0.5102040816326531,0.3333333333333333,6326.0,1220.0,9599.5,10272.5,4592.5,7968.5,6986.5,6709.357142857143,8752.0,February 2026,2026-02-03
10229,"Tabur, Clement",1,20.0,2.0,8.0,4.0,111.0,140.0,44.0,69.0,8.0,0.7928571428571428,0.6376811594202898,0.25,4263.5,3659.5,6117.0,743.0,866.5,1112.5,8878.5,3662.928571428572,913.0,February 2026,2026-02-03
10936,"Vavassori, Andrea",2,22.0,2.0,6.0,4.0,78.0,92.0,23.0,35.0,22.0,0.8478260869565217,0.6571428571428571,0.3333333333333333,3909.0,3659.5,3865.5,440.5,119.0,694.5,6986.5,2810.6428571428573,129.0,February 2026,2026-02-03
11296,"Ymer, Elias",0,3.0,2.0,10.0,3.0,43.0,62.0,21.0,37.0,-4.0,0.6935483870967742,0.5675675675675675,0.2,9511.5,2832.5,9599.5,10226.5,6072.0,4497.0,9516.5,7465.071428571428,10273.0,February 2026,2026-02-03
11383,"Zapata Miralles, Bernabe",0,1.0,0.0,0.0,1.0,14.0,28.0,2.0,10.0,-31.0,0.5,0.2,,10542.5,1220.0,9599.5,11433.0,10893.0,11049.5,,9122.916666666666,11614.0,February 2026,2026-02-03
