,player_name,Month,total_wins,total_matches,aces,aces_allowed,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,breakpoints_allowed,breakpoints_saved,first_serve_return_points_won,first_serve_return_points_total,second_serve_return_points_won,second_serve_return_points_total,points_won,points_lost,points_spread,games_won,games_lost,games_spread,sets_won,sets_lost,sets_spread,tiebreaks_won,tiebreaks_lost,FS Win %,SS Win %,BP Conv %,Tiebreak Win %,BP Save %,FS Return Win %,SS Return Win %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
0,"Abbagnato, Anastasia",May 2025,0,1,0,0,1,4,1,16,29,3,16,8,3,27,38,1,1,35,59,-24,5,12,-7,0,2,-2,0,0,0.5517241379310345,0.1875,0.25,,0.375,0.7105263157894737,1.0,2455.0,110.0,2141.0,2193.0,2043.5,2603.0,2357.5,1986.142857142857,2549.5,2026-01-28
1,"Abe, Hiromi",November 2025,1,2,1,0,7,14,3,49,103,6,10,15,5,58,100,12,12,111,131,-20,16,22,-6,2,2,0,1,0,0.47572815533980584,0.6,0.5,1.0,0.3333333333333333,0.58,1.0,2138.5,434.0,1358.5,2018.0,2454.0,341.0,863.5,1372.5,1451.0,2026-01-28
2,"Adkar, Vaishnavi",October 2025,1,3,1,0,5,19,5,55,98,20,46,28,16,65,96,28,28,142,170,-28,15,29,-14,2,4,-2,0,0,0.5612244897959183,0.43478260869565216,0.2631578947368421,,0.5714285714285714,0.6770833333333334,1.0,2138.5,788.5,1358.5,2332.0,1977.0,2165.5,2322.0,1868.857142857143,2412.0,2026-01-28
3,"Ahn, Alyssa",August 2025,0,1,0,0,0,0,0,15,34,4,15,10,4,15,16,5,5,25,55,-30,1,12,-11,0,2,-2,0,0,0.4411764705882353,0.26666666666666666,,,0.4,0.9375,1.0,2455.0,24.5,2141.0,2387.0,2526.0,2577.0,,2018.4166666666667,2574.0,2026-01-28
4,"Aiava, Destanee",August 2025,3,5,18,0,19,39,19,171,287,65,109,44,21,167,262,37,37,394,404,-10,58,64,-6,6,7,-1,1,1,0.5958188153310104,0.5963302752293578,0.48717948717948717,0.5,0.4772727272727273,0.6374045801526718,1.0,409.5,2111.5,545.0,1432.0,1605.0,370.5,999.5,1067.5714285714287,781.5,2026-01-28
5,"Aiava, Destanee",January 2025,4,5,22,0,21,64,18,205,289,57,121,51,37,173,277,64,64,460,416,44,71,57,14,9,4,5,1,1,0.7093425605536332,0.47107438016528924,0.328125,0.5,0.7254901960784313,0.6245487364620939,1.0,278.5,2058.0,326.0,225.5,202.0,1848.0,2178.0,1016.5714285714286,676.0,2026-01-28
6,"Aiava, Destanee",January 2026,0,1,7,0,4,13,2,36,54,11,29,10,5,36,52,16,16,87,91,-4,12,14,-2,1,2,-1,0,0,0.6666666666666666,0.3793103448275862,0.3076923076923077,,0.5,0.6923076923076923,1.0,1097.5,256.5,2141.0,1177.0,589.0,2396.0,2223.5,1411.5,1523.0,2026-01-28
7,"Aiava, Destanee",July 2025,0,1,0,0,1,6,2,20,37,24,31,3,0,28,42,4,4,65,71,-6,9,13,-4,0,2,-2,0,1,0.5405405405405406,0.7741935483870968,0.16666666666666666,0.0,0.0,0.6666666666666666,1.0,2455.0,256.5,2141.0,1262.0,2140.5,25.0,2472.0,1536.0,1789.0,2026-01-28
8,"Aiava, Destanee",June 2025,1,3,13,0,9,16,5,93,148,40,71,22,11,113,157,32,32,220,232,-12,34,41,-7,3,5,-2,0,1,0.6283783783783784,0.5633802816901409,0.5625,0.0,0.5,0.7197452229299363,1.0,622.5,788.5,1358.5,1541.0,1141.5,686.5,487.5,946.5714285714286,535.0,2026-01-28
9,"Aiava, Destanee",May 2025,0,1,3,0,1,5,2,22,35,11,28,10,5,26,34,9,9,51,69,-18,6,13,-7,0,2,-2,0,0,0.6285714285714286,0.39285714285714285,0.2,,0.5,0.7647058823529411,1.0,1668.0,256.5,2141.0,1897.0,1137.0,2352.5,2438.5,1698.642857142857,2130.0,2026-01-28
10,"Aiava, Destanee",September 2025,0,1,1,0,2,10,1,24,39,7,18,8,3,36,54,11,11,65,81,-16,7,13,-6,0,2,-2,0,0,0.6153846153846154,0.3888888888888889,0.2,,0.375,0.6666666666666666,1.0,2138.5,110.0,2141.0,1771.0,1320.0,2365.5,2438.5,1754.9285714285713,2231.0,2026-01-28
11,"Akli, Ayana",August 2025,2,3,4,0,13,24,10,96,154,33,40,16,8,94,156,30,30,235,204,31,39,29,10,5,2,3,1,0,0.6233766233766234,0.825,0.5416666666666666,1.0,0.5,0.6025641025641025,1.0,1491.0,1435.5,873.5,361.5,1221.0,17.0,587.5,855.2857142857143,362.0,2026-01-28
12,"Alame, Renee",January 2025,0,1,0,0,2,3,2,14,27,1,15,11,5,16,19,5,5,26,56,-30,3,12,-9,0,2,-2,0,0,0.5185185185185185,0.06666666666666667,0.6666666666666666,,0.45454545454545453,0.8421052631578947,1.0,2455.0,256.5,2141.0,2387.0,2279.5,2622.0,188.0,1761.2857142857142,2243.0,2026-01-28
13,"Alame, Renee",January 2026,0,1,0,0,5,11,3,34,65,9,20,12,5,40,68,7,7,83,96,-13,12,16,-4,1,2,-1,0,0,0.5230769230769231,0.45,0.45454545454545453,,0.4166666666666667,0.5882352941176471,1.0,2455.0,434.0,2141.0,1601.5,2258.0,2050.0,1241.5,1740.142857142857,2212.0,2026-01-28
14,"Alexandrova, Ekaterina",April 2025,8,11,55,0,49,117,38,284,415,126,223,64,35,226,390,144,144,764,636,128,128,82,46,17,6,11,1,1,0.6843373493975904,0.5650224215246636,0.4188034188034188,0.5,0.546875,0.5794871794871795,1.0,18.0,2554.5,27.0,18.0,398.0,672.5,1556.0,749.1428571428571,204.0,2026-01-28
15,"Alexandrova, Ekaterina",August 2025,8,10,47,0,41,75,38,305,444,100,170,61,38,261,430,93,93,703,587,116,121,79,42,16,5,11,1,1,0.6869369369369369,0.5882352941176471,0.5466666666666666,0.5,0.6229508196721312,0.6069767441860465,1.0,36.5,2554.5,27.0,25.0,372.0,433.5,553.0,571.6428571428571,30.0,2026-01-28
16,"Alexandrova, Ekaterina",February 2025,6,8,24,0,31,67,24,283,426,81,145,52,31,250,409,89,89,631,573,58,104,81,23,13,7,6,1,0,0.6643192488262911,0.5586206896551724,0.4626865671641791,1.0,0.5961538461538461,0.6112469437652812,1.0,236.5,2309.5,109.0,135.0,619.0,759.5,1175.0,763.3571428571429,222.0,2026-01-28
17,"Alexandrova, Ekaterina",January 2025,3,5,29,0,24,48,25,179,271,59,120,59,42,164,262,58,58,429,394,35,64,54,10,6,6,0,0,3,0.6605166051660517,0.49166666666666664,0.5,0.0,0.711864406779661,0.6259541984732825,1.0,160.5,2346.0,545.0,302.0,674.0,1625.0,863.5,930.8571428571429,507.5,2026-01-28
18,"Alexandrova, Ekaterina",January 2026,1,4,23,0,16,32,16,135,217,39,80,37,18,141,233,47,47,328,330,-2,45,51,-6,3,6,-3,1,0,0.6221198156682027,0.4875,0.5,1.0,0.4864864864864865,0.6051502145922747,1.0,254.5,1933.0,1358.5,1092.0,1239.0,1669.0,863.5,1201.357142857143,1077.0,2026-01-28
19,"Alexandrova, Ekaterina",July 2025,5,8,37,0,37,70,34,237,341,81,147,41,17,209,352,105,105,587,494,93,100,72,28,12,6,6,2,2,0.6950146627565983,0.5510204081632653,0.5285714285714286,0.5,0.4146341463414634,0.59375,1.0,83.0,2515.0,193.5,44.0,292.0,845.5,662.0,662.1428571428571,88.0,2026-01-28
20,"Alexandrova, Ekaterina",June 2025,5,8,52,0,32,80,36,261,362,108,208,66,43,233,371,81,81,636,586,50,103,82,21,11,8,3,0,3,0.7209944751381215,0.5192307692307693,0.4,0.0,0.6515151515151515,0.628032345013477,1.0,23.0,2533.5,193.5,183.5,153.0,1264.5,1726.0,868.1428571428571,386.5,2026-01-28
21,"Alexandrova, Ekaterina",March 2025,0,2,10,0,4,10,9,45,72,20,40,15,6,51,81,17,17,114,138,-24,15,26,-11,0,4,-4,0,1,0.625,0.5,0.4,0.0,0.4,0.6296296296296297,1.0,823.0,1329.0,2141.0,2193.0,1194.0,1509.0,1726.0,1559.2857142857142,1840.0,2026-01-28
22,"Alexandrova, Ekaterina",May 2025,3,3,11,0,15,33,11,78,107,28,46,14,10,49,103,38,38,205,143,62,36,13,23,6,0,6,0,0,0.7289719626168224,0.6086956521739131,0.45454545454545453,,0.7142857142857143,0.47572815533980584,1.0,753.5,1523.0,545.0,116.5,126.0,281.0,1241.5,655.2142857142857,76.0,2026-01-28
