,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
16,"Al-Mudahka, Hind",0,1.0,0.0,0.0,7.0,14.0,29.0,6.0,14.0,-30.0,0.4827586206896552,0.4285714285714285,,3086.0,1614.0,3127.0,3478.0,3518.0,3180.0,,3000.5,3785.0,February 2026,2026-07-02
17,"Al-Naimi, Mubaraka",0,0.0,0.0,3.0,1.0,1.0,13.0,2.0,13.0,-36.0,0.0769230769230769,0.1538461538461538,0.0,3568.5,198.5,3127.0,3622.5,3806.0,3767.5,3691.0,3111.5714285714284,3823.0,February 2026,2026-07-02
24,"Alexandrova, Ekaterina",3,18.0,19.0,42.0,21.0,178.0,282.0,65.0,128.0,-3.0,0.6312056737588653,0.5078125,0.4523809523809524,588.0,3224.5,797.0,1682.0,1531.5,2045.5,1830.0,1671.2142857142858,1414.0,February 2026,2026-07-02
49,"Andreescu, Bianca",0,3.0,5.0,9.0,7.0,38.0,58.0,8.0,21.0,-6.0,0.6551724137931034,0.3809523809523809,0.5555555555555556,2388.5,1614.0,3127.0,1860.5,1046.0,3461.0,742.0,2034.142857142857,2196.0,February 2026,2026-07-02
70,"Andreeva, Mirra",3,15.0,26.0,47.0,19.0,161.0,250.0,41.0,96.0,38.0,0.644,0.4270833333333333,0.5531914893617021,754.0,3103.0,797.0,408.0,1268.0,3201.0,763.5,1470.642857142857,952.0,February 2026,2026-07-02
90,"Anisimova, Amanda",3,13.0,22.0,42.0,17.0,140.0,232.0,55.0,100.0,10.0,0.603448275862069,0.55,0.5238095238095238,889.5,2954.0,797.0,1058.0,2104.0,1236.0,985.0,1431.928571428571,879.5,February 2026,2026-07-02
108,"Appleton, Emily",0,2.0,2.0,7.0,2.0,25.0,50.0,17.0,29.0,-18.0,0.5,0.5862068965517241,0.2857142857142857,2709.0,408.0,3127.0,2791.5,3415.0,666.0,3294.5,2344.428571428572,2885.5,February 2026,2026-07-02
119,"Arango, Emiliana",1,0.0,14.0,33.0,6.0,109.0,209.0,25.0,48.0,-17.0,0.5215311004784688,0.5208333333333334,0.4242424242424242,3568.5,1405.5,1982.0,2707.0,3261.0,1806.5,2190.0,2417.214285714286,3027.5,February 2026,2026-07-02
149,"Avanesyan, Elina",2,0.0,22.0,40.0,32.0,81.0,156.0,34.0,59.0,-6.0,0.5192307692307693,0.576271186440678,0.55,3568.5,3637.0,1270.5,1860.5,3275.0,799.5,775.5,2169.5,2493.0,February 2026,2026-07-02
170,"Badosa, Paula",1,14.0,9.0,20.0,21.0,75.0,112.0,23.0,44.0,-4.0,0.6696428571428571,0.5227272727272727,0.45,812.5,3224.5,1982.0,1741.5,791.0,1754.5,1845.5,1735.928571428571,1557.0,February 2026,2026-07-02
184,"Bandecchi, Susan",0,4.0,5.0,7.0,6.0,38.0,60.0,13.0,16.0,-8.0,0.6333333333333333,0.8125,0.7142857142857143,2126.5,1405.5,3127.0,1985.0,1486.0,29.0,197.0,1479.428571428571,982.0,February 2026,2026-07-02
