,match_date,competition_name,competition_category,player_name,opponent_name,winner_flag,aces,breakpoints_won,double_faults,first_serve_points_won,first_serve_successful,games_won,max_games_in_a_row,max_points_in_a_row,points_won,points_spread,second_serve_points_won,second_serve_successful,service_games_won,service_points_lost,service_points_won,tiebreaks_won,total_breakpoints,first_serve_win_perc,second_serve_win_perc,breakpoint_conversion_perc,Month
0,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Masarova, Rebeka","Volynets, Katie",0,7,1,2,30,45,8,3,6,60,-12,7,18,7,28,37,0,3,66.66666666666667,35.0,33.33333333333333,January 2026
1,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Volynets, Katie","Masarova, Rebeka",1,0,3,0,36,57,12,3,6,72,12,8,10,9,23,44,0,7,63.1578947368421,80.0,42.857142857142854,January 2026
2,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Bondar, Anna","Kalinina, Anhelina",1,7,4,6,24,36,13,7,9,75,8,21,32,8,29,45,1,10,66.66666666666667,55.26315789473685,40.0,January 2026
3,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Kalinina, Anhelina","Bondar, Anna",0,3,3,1,30,52,10,4,8,67,-8,8,15,7,30,38,0,7,57.69230769230769,50.0,42.857142857142854,January 2026
4,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Sramkova, Rebecca","Cabrera, Lizette",1,8,8,2,14,34,12,5,6,68,14,15,19,4,30,29,0,16,41.1764705882353,71.42857142857143,50.0,January 2026
5,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Cabrera, Lizette","Sramkova, Rebecca",0,4,5,5,9,35,6,3,5,54,-14,9,26,1,45,18,0,8,25.714285714285715,29.03225806451613,62.5,January 2026
6,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Ruzic, Antonia","Timofeeva, Maria",0,0,2,6,31,52,9,3,7,60,-16,11,20,7,36,42,0,4,59.61538461538461,42.30769230769231,50.0,January 2026
7,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Timofeeva, Maria","Ruzic, Antonia",1,3,4,1,28,38,13,3,8,76,16,12,17,9,18,40,0,11,73.6842105263158,66.66666666666666,36.36363636363637,January 2026
8,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Sharma, Astra","Rakhimova, Kamilla",0,4,1,8,16,26,4,2,3,41,-22,7,17,3,28,23,0,4,61.53846153846154,28.000000000000004,25.0,January 2026
9,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Rakhimova, Kamilla","Sharma, Astra",1,0,5,7,28,37,12,4,7,63,22,7,9,7,18,35,0,9,75.67567567567568,43.75,55.55555555555556,January 2026
