,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
0,"Aiava, Destanee",0,7,4,13,2,36,54,11,29,-4,0.6666666666666666,0.3793103448275862,0.3076923076923077,145.0,37.5,250.5,136.5,76.0,278.0,258.5,168.85714285714286,178.0,2026-01-25
1,"Alame, Renee",0,0,5,11,3,34,65,9,20,-13,0.5230769230769231,0.45,0.45454545454545453,291.0,63.0,250.5,177.5,260.0,241.5,149.0,204.64285714285714,267.5,2026-01-25
2,"Alexandrova, Ekaterina",1,23,16,32,16,135,217,39,80,-2,0.6221198156682027,0.4875,0.5,37.5,236.5,156.5,131.5,148.0,191.0,105.0,143.71428571428572,135.0,2026-01-25
3,"Ambrosio, Silvia",1,2,7,18,5,35,65,14,26,7,0.5384615384615384,0.5384615384615384,0.3888888888888889,233.5,102.5,156.5,98.5,249.5,113.5,207.0,165.85714285714286,173.0,2026-01-25
4,"Andreeva, Mirra",9,27,47,98,41,314,459,121,200,152,0.6840958605664488,0.605,0.47959183673469385,27.5,300.0,3.0,3.0,50.0,31.0,130.0,77.78571428571429,14.0,2026-01-25
5,Andreozzi G / Carle M L,1,5,7,22,5,58,107,27,47,-19,0.5420560747663551,0.574468085106383,0.3181818181818182,174.5,102.5,156.5,218.0,247.0,63.0,254.5,173.71428571428572,192.0,2026-01-25
6,"Anisimova, Amanda",4,15,19,40,24,136,186,52,92,65,0.7311827956989247,0.5652173913043478,0.475,67.5,274.0,38.5,14.0,29.0,73.5,134.0,90.07142857142857,34.0,2026-01-25
7,"Arango, Emiliana",0,0,6,28,7,40,107,22,53,-56,0.37383177570093457,0.41509433962264153,0.21428571428571427,291.0,138.0,250.5,299.0,301.0,261.0,281.0,260.2142857142857,304.0,2026-01-25
8,Auger-Aliassime F / Mboko V,1,3,4,5,2,22,29,10,14,15,0.7586206896551724,0.7142857142857143,0.8,210.5,37.5,156.5,77.0,16.0,7.0,9.0,73.35714285714286,8.0,2026-01-25
9,"Auger-Aliassime, Felix",1,14,2,7,5,60,75,16,37,-6,0.8,0.43243243243243246,0.2857142857142857,72.0,102.5,156.5,143.0,6.0,254.0,266.0,142.85714285714286,130.0,2026-01-25
10,"Badosa, Paula",2,28,17,51,42,164,243,70,129,-3,0.6748971193415638,0.5426356589147286,0.3333333333333333,24.5,301.0,97.0,133.5,59.0,106.0,241.0,137.42857142857142,120.0,2026-01-25
11,"Baez, Sebastian",3,7,10,18,3,119,183,40,65,11,0.6502732240437158,0.6153846153846154,0.5555555555555556,145.0,63.0,62.0,89.5,99.0,25.5,65.5,78.5,15.0,2026-01-25
12,"Bai, Zhuoxuan",4,6,23,43,11,156,261,45,94,21,0.5977011494252874,0.4787234042553192,0.5348837209302325,158.5,188.5,38.5,55.5,186.0,205.5,76.0,129.78571428571428,103.0,2026-01-25
13,"Baptiste, Hailey",2,17,14,44,14,170,260,79,150,-13,0.6538461538461539,0.5266666666666666,0.3181818181818182,60.5,219.0,97.0,177.5,91.5,133.0,254.5,147.57142857142858,145.5,2026-01-25
14,"Barry, Monique",0,1,1,3,2,12,28,4,11,-26,0.42857142857142855,0.36363636363636365,0.3333333333333333,260.5,37.5,250.5,259.5,294.5,280.0,241.0,231.92857142857142,296.0,2026-01-25
15,"Bartunkova, Nikola",5,13,25,40,29,130,205,65,140,13,0.6341463414634146,0.4642857142857143,0.625,80.0,286.5,25.5,81.5,124.5,225.5,33.5,122.42857142857143,89.0,2026-01-25
16,"Bassols Ribera, Marina",2,4,14,40,11,127,207,24,44,25,0.6135265700483091,0.5454545454545454,0.35,191.0,188.5,97.0,51.0,162.0,103.0,231.5,146.28571428571428,140.0,2026-01-25
17,"Beck, Ava",0,0,2,2,4,13,30,7,17,-24,0.43333333333333335,0.4117647058823529,1.0,291.0,85.0,250.5,254.0,293.0,263.0,3.0,205.64285714285714,271.0,2026-01-25
18,"Bejlek, Sara",1,2,10,27,8,64,105,26,51,-20,0.6095238095238096,0.5098039215686274,0.37037037037037035,233.5,150.0,156.5,229.0,174.0,155.0,218.0,188.0,233.5,2026-01-25
19,"Bencic, Belinda",6,9,36,69,17,225,318,65,122,122,0.7075471698113207,0.5327868852459017,0.5217391304347826,117.5,244.0,15.5,5.0,39.0,123.0,84.0,89.71428571428571,32.0,2026-01-25
20,Bergs Z / Mertens E,1,10,11,21,9,84,120,28,55,19,0.7,0.509090909090909,0.5238095238095238,107.0,164.5,156.5,61.0,44.0,156.0,83.0,110.28571428571429,57.5,2026-01-25
21,"Bergs, Zizou",3,36,9,23,11,153,207,94,137,42,0.7391304347826086,0.6861313868613139,0.391304347826087,13.0,188.5,62.0,27.0,25.0,9.0,205.5,75.71428571428571,12.0,2026-01-25
22,"Birrell, Kimberly",3,12,22,46,32,192,309,63,116,-23,0.6213592233009708,0.5431034482758621,0.4782608695652174,90.0,290.5,62.0,250.0,149.5,105.0,132.0,154.14285714285714,157.0,2026-01-25
23,"Blinkova, Anna",0,1,7,19,10,65,129,22,54,-60,0.5038759689922481,0.4074074074074074,0.3684210526315789,260.5,178.0,250.5,300.0,271.0,266.5,219.0,249.35714285714286,302.0,2026-01-25
24,"Bolsova, Aliona",0,1,2,5,4,36,72,7,15,-26,0.5,0.4666666666666667,0.4,260.5,85.0,250.5,259.5,275.5,223.0,198.0,221.71428571428572,290.0,2026-01-25
25,"Bondar, Anna",5,41,26,54,22,210,307,110,176,50,0.6840390879478827,0.625,0.48148148148148145,7.5,264.0,25.5,20.0,51.0,21.5,128.0,73.92857142857143,9.5,2026-01-25
26,"Boulter, Katie",1,6,10,19,15,65,111,36,70,-24,0.5855855855855856,0.5142857142857142,0.5263157894736842,158.5,227.5,156.5,254.0,201.0,151.5,82.0,175.85714285714286,195.0,2026-01-25
27,"Bouzas Maneiro, Jessica",1,9,22,35,30,108,192,54,107,-17,0.5625,0.5046728971962616,0.6285714285714286,117.5,288.0,156.5,202.0,228.0,164.0,32.0,169.71428571428572,181.0,2026-01-25
28,"Bouzkova, Marie",4,14,28,63,26,208,341,93,160,4,0.6099706744868035,0.58125,0.4444444444444444,72.0,282.0,38.5,108.5,172.0,52.0,156.5,125.92857142857143,95.0,2026-01-25
29,"Brace, Cadence",0,2,7,12,6,63,120,22,40,-21,0.525,0.55,0.5833333333333334,233.5,121.5,250.5,238.0,257.0,94.0,50.0,177.78571428571428,201.0,2026-01-25
30,"Brancaccio, Nuria",0,1,6,19,0,50,88,4,12,-4,0.5681818181818182,0.3333333333333333,0.3157894736842105,260.5,5.0,250.5,136.5,221.0,286.5,256.5,202.35714285714286,258.0,2026-01-25
31,"Branstine, Carson",1,2,5,12,6,59,95,19,41,-20,0.6210526315789474,0.4634146341463415,0.4166666666666667,233.5,121.5,156.5,229.0,151.0,228.0,185.0,186.35714285714286,229.5,2026-01-25
32,"Brengle, Madison",0,0,6,12,1,26,68,4,9,-17,0.38235294117647056,0.4444444444444444,0.5,291.0,17.5,250.5,202.0,300.0,244.5,105.0,201.5,256.0,2026-01-25
33,"Bronzetti, Lucia",2,4,15,22,9,127,220,32,67,-4,0.5772727272727273,0.47761194029850745,0.6818181818181818,191.0,164.5,97.0,136.5,209.0,209.0,21.0,146.85714285714286,141.0,2026-01-25
34,"Bucsa, Cristina",1,4,6,14,8,79,141,20,47,-50,0.5602836879432624,0.425531914893617,0.42857142857142855,191.0,150.0,156.5,294.5,230.0,256.0,173.0,207.28571428571428,273.0,2026-01-25
35,"Bulgaru, Miriam Bianca",0,0,3,10,3,35,65,20,35,-13,0.5384615384615384,0.5714285714285714,0.3,291.0,63.0,250.5,177.5,249.5,66.5,261.0,194.14285714285714,245.0,2026-01-25
36,"Cabrera, Lizette",1,9,13,23,14,63,118,36,71,0,0.5338983050847458,0.5070422535211268,0.5652173913043478,117.5,219.0,156.5,121.0,253.0,160.5,59.5,155.28571428571428,159.0,2026-01-25
37,"Carle, Maria",1,5,13,17,14,79,134,20,32,16,0.5895522388059702,0.625,0.7647058823529411,174.5,219.0,156.5,71.0,197.0,21.5,12.0,121.64285714285714,88.0,2026-01-25
38,Cervantes I / Cavalle-Reimers Y,0,3,2,5,2,25,42,11,22,-20,0.5952380952380952,0.5,0.4,210.5,37.5,250.5,229.0,190.0,173.0,198.0,184.07142857142858,220.0,2026-01-25
39,"Charaeva, Alina",0,4,4,9,6,74,121,26,50,-30,0.6115702479338843,0.52,0.4444444444444444,191.0,121.5,250.5,273.5,167.0,141.0,156.5,185.85714285714286,228.0,2026-01-25
40,"Chen, Emilie",0,1,1,3,0,11,30,5,15,-28,0.36666666666666664,0.3333333333333333,0.3333333333333333,260.5,5.0,250.5,266.0,302.0,286.5,241.0,230.21428571428572,295.0,2026-01-25
41,"Chirico, Louisa",0,7,8,19,12,51,95,22,40,-29,0.5368421052631579,0.55,0.42105263157894735,145.0,199.5,250.5,270.5,251.0,94.0,182.0,198.92857142857142,253.0,2026-01-25
42,"Chwalinska, Maja",3,2,22,52,9,179,309,29,55,20,0.5792880258899676,0.5272727272727272,0.4230769230769231,233.5,164.5,62.0,58.0,206.0,132.0,180.5,148.07142857142858,147.0,2026-01-25
43,"Cirstea, Sorana",5,34,25,49,13,178,265,92,177,33,0.6716981132075471,0.519774011299435,0.5102040816326531,16.0,209.0,25.5,38.0,67.5,143.0,88.0,83.85714285714286,21.0,2026-01-25
44,"Cobolli, Flavio",1,13,5,15,6,82,114,67,104,-7,0.7192982456140351,0.6442307692307693,0.3333333333333333,80.0,121.5,156.5,146.5,34.0,14.0,241.0,113.35714285714286,68.0,2026-01-25
45,"Cocciaretto, Elisabetta",8,25,47,93,27,316,481,101,182,125,0.656964656964657,0.554945054945055,0.5053763440860215,33.0,284.5,6.5,4.0,87.0,87.0,90.0,84.57142857142857,22.0,2026-01-25
46,"Costoulas, Sofia",4,25,23,45,13,162,244,47,66,34,0.6639344262295082,0.7121212121212122,0.5111111111111111,33.0,209.0,38.5,35.5,81.0,8.0,86.0,70.14285714285714,5.0,2026-01-25
47,"Cristian, Jaqueline",4,15,32,64,26,209,348,59,119,9,0.6005747126436781,0.4957983193277311,0.5,67.5,282.0,38.5,94.5,183.0,181.0,105.0,135.92857142857142,119.0,2026-01-25
48,"Cross, Kayla",0,5,4,11,7,44,81,18,25,-10,0.5432098765432098,0.72,0.36363636363636365,174.5,138.0,250.5,159.0,243.0,5.0,223.0,170.42857142857142,183.0,2026-01-25
